Date,Value
1994-11-01,19367.0
1994-10-01,19344.0
1994-09-01,19337.0
1994-08-01,19306.0
1994-07-01,19301.0
1994-06-01,19274.0
1994-05-01,19264.0
1994-04-01,19223.0
1994-03-01,19190.0
1994-02-01,19150.0
1994-01-01,19147.0
1993-12-01,19109.0
1993-11-01,19068.0
1993-10-01,19042.0
1993-09-01,19041.0
1993-08-01,19028.0
1993-07-01,19060.0
1993-06-01,18969.0
1993-05-01,18951.0
1993-04-01,18938.0
1993-03-01,18907.0
1993-02-01,18902.0
1993-01-01,18901.0
1992-12-01,18878.0
1992-11-01,18841.0
1992-10-01,18828.0
1992-09-01,18829.0
1992-08-01,18883.0
1992-07-01,18817.0
1992-06-01,18762.0
1992-05-01,18753.0
1992-04-01,18739.0
1992-03-01,18715.0
1992-02-01,18689.0
1992-01-01,18688.0
1991-12-01,18641.0
1991-11-01,18627.0
1991-10-01,18593.0
1991-09-01,18543.0
1991-08-01,18567.0
1991-07-01,18598.0
1991-06-01,18561.0
1991-05-01,18498.0
1991-04-01,18485.0
1991-03-01,18488.0
1991-02-01,18482.0
1991-01-01,18474.0
1990-12-01,18468.0
1990-11-01,18450.0
1990-10-01,18443.0
1990-09-01,18437.0
1990-08-01,18457.0
1990-07-01,18560.0
1990-06-01,18556.0
1990-05-01,18599.0
1990-04-01,18377.0
1990-03-01,18294.0
1990-02-01,18177.0
1990-01-01,18151.0
1989-12-01,18075.0
1989-11-01,18057.0
1989-10-01,18033.0
1989-09-01,18027.0
1989-08-01,17989.0
1989-07-01,17905.0
1989-06-01,17912.0
1989-05-01,17876.0
1989-04-01,17840.0
1989-03-01,17822.0
1989-02-01,17812.0
1989-01-01,17774.0
1988-12-01,17736.0
1988-11-01,17746.0
1988-10-01,17670.0
1988-09-01,17634.0
1988-08-01,17544.0
1988-07-01,17494.0
1988-06-01,17515.0
1988-05-01,17481.0
1988-04-01,17452.0
1988-03-01,17447.0
1988-02-01,17389.0
1988-01-01,17365.0
1987-12-01,17347.0
1987-11-01,17299.0
1987-10-01,17269.0
1987-09-01,17135.0
1987-08-01,17172.0
1987-07-01,17160.0
1987-06-01,17124.0
1987-05-01,17112.0
1987-04-01,17109.0
1987-03-01,17064.0
